Date,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,30 Yr
11/01/2019,1.56,1.55,1.55,1.63,1.73,2.21
11/04/2019,1.60,1.59,1.60,1.69,1.79,2.27
11/05/2019,1.63,1.63,1.66,1.77,1.86,2.34
11/06/2019,1.61,1.60,1.63,1.73,1.81,2.30
11/07/2019,1.68,1.70,1.74,1.84,1.92,2.40
11/08/2019,1.68,1.70,1.74,1.86,1.94,2.43
11/12/2019,1.66,1.69,1.73,1.84,1.92,2.39
11/13/2019,1.63,1.65,1.69,1.79,1.88,2.36
11/14/2019,1.58,1.59,1.63,1.73,1.82,2.31
11/15/2019,1.61,1.61,1.65,1.75,1.84,2.31
11/18/2019,1.60,1.59,1.63,1.73,1.81,2.30
11/19/2019,1.60,1.59,1.63,1.71,1.79,2.26
11/20/2019,1.56,1.55,1.58,1.66,1.73,2.20
11/21/2019,1.60,1.59,1.62,1.71,1.77,2.24
11/22/2019,1.61,1.60,1.62,1.71,1.77,2.22
11/25/2019,1.61,1.60,1.62,1.71,1.76,2.21
11/26/2019,1.58,1.58,1.58,1.68,1.74,2.18
11/27/2019,1.63,1.61,1.63,1.71,1.77,2.19
11/29/2019,1.61,1.61,1.62,1.73,1.78,2.21
